"","2","5","10"
"1",117998.550827665,118324.008858275,116560.767441196
"2",131837.719715441,117552.448777258,119757.985600132
"3",130145.200182393,117092.698244429,115685.014143065
"4",122371.088857016,118432.738086696,119887.642571389
"5",124129.356866561,118174.945748582,120311.833655294
"6",120880.668314545,121189.387676286,118647.447076324
"7",113300.281535429,120368.180356338,117042.5794341
"8",121961.577801626,117944.221327318,124478.892069047
"9",121346.59506643,124577.566283011,117949.425049243
"10",122328.991265955,123049.790001883,120208.242073785
"11",123577.515649442,114644.699528894,116184.449312766
"12",122144.951309037,117974.876645482,117123.973503396
"13",123823.191011039,116883.54958975,118662.813027618
"14",120228.432619434,127468.660316924,117644.621506928
"15",133087.122614103,125622.220410006,116538.298621765
"16",116841.323671972,120275.755154996,116982.953273105
"17",120519.198268058,119065.077906687,119245.658001774
"18",125031.057179211,121505.090378116,119508.193953343
"19",135809.432678484,117532.381003303,117998.296609449
"20",131685.656277397,119806.202153148,119507.967527347
"21",115706.066473816,122285.970265245,118958.399600362
"22",127231.927981357,129540.473273992,122108.825196456
"23",124874.78172891,117776.300465971,116631.23601826
"24",118114.93417378,121041.565938842,119601.227006311
"25",126631.42136912,119802.863301496,123449.139266429
"26",121047.337963044,117771.267455083,122694.702671242
"27",134131.101058705,112466.145360664,118571.475747906
"28",126925.847707852,111775.491670061,116596.21212872
"29",122424.720420259,117985.16641433,120221.821537484
"30",129040.00554459,119516.713299224,118188.251668205
